start_station_id,end_station_id,count
39,39,614
39,41,157
39,42,104
39,45,231
39,46,427
39,47,230
39,48,175
39,49,132
39,50,529
39,51,84
39,54,85
39,55,374
39,56,387
39,57,331
39,58,433
39,59,359
39,60,566
39,61,203
39,62,480
39,63,188
39,64,180
39,65,871
39,66,1114
39,67,2087
39,68,128
39,69,2854
39,70,1852
39,71,182
39,72,774
39,73,218
39,74,424
39,75,301
39,76,311
39,77,897
39,82,94
41,39,456
41,41,384
41,42,98
41,45,84
41,46,77
41,47,156
41,48,144
41,49,209
41,50,327
41,51,164
41,54,212
41,55,684
41,56,169
41,57,147
41,58,42
41,59,87
41,60,778
41,61,607
41,62,188
41,63,255
41,64,174
41,65,140
41,66,83
41,67,109
41,68,136
41,69,381
41,70,1575
41,71,224
41,72,161
41,73,332
41,74,152
41,75,265
41,76,345
41,77,314
41,82,335
42,39,164
42,41,84
42,42,522
42,45,500
42,46,92
42,47,169
42,48,187
42,49,325
42,50,276
42,51,195
42,54,198
42,55,399
42,56,473
42,57,70
42,58,23
42,59,51
42,60,948
42,61,637
42,62,51
42,63,169
42,64,101
42,65,67
42,66,57
42,67,110
42,68,34
42,69,473
42,70,1594
42,71,272
42,72,110
42,73,214
42,74,205
42,75,228
42,76,248
42,77,480
42,82,231
45,39,426
45,41,124
45,42,709
45,45,248
45,46,53
45,47,278
45,48,61
45,49,271
45,50,593
45,51,170
45,54,557
45,55,892
45,56,367
45,57,287
45,58,130
45,59,34
45,60,284
45,61,291
45,62,134
45,63,233
45,64,267
45,65,130
45,66,155
45,67,138
45,68,520
45,69,369
45,70,1124
45,71,282
45,72,163
45,73,169
45,74,143
45,75,464
45,76,533
45,77,1048
45,82,240
46,39,460
46,41,82
46,42,88
46,45,35
46,46,319
46,47,169
46,48,138
46,49,58
46,50,305
46,51,185
46,54,150
46,55,263
46,56,258
46,57,77
46,58,50
46,59,38
46,60,434
46,61,96
46,62,50
46,63,155
46,64,104
46,65,98
46,66,72
46,67,189
46,68,104
46,69,244
46,70,200
46,71,179
46,72,100
46,73,160
46,74,116
46,75,210
46,76,219
46,77,236
46,82,123
47,39,251
47,41,155
47,42,200
47,45,219
47,46,593
47,47,206
47,48,93
47,49,171
47,50,527
47,51,121
47,54,142
47,55,288
47,56,126
47,57,190
47,58,105
47,59,145
47,60,398
47,61,269
47,62,171
47,63,220
47,64,536
47,65,380
47,66,287
47,67,393
47,68,121
47,69,490
47,70,799
47,71,150
47,72,219
47,73,427
47,74,364
47,75,209
47,76,210
47,77,71
47,82,217
48,39,153
48,41,119
48,42,150
48,45,69
48,46,90
48,47,63
48,48,620
48,49,173
48,50,731
48,51,250
48,54,565
48,55,457
48,56,457
48,57,96
48,58,30
48,59,45
48,60,1181
48,61,536
48,62,50
48,63,108
48,64,302
48,65,103
48,66,92
48,67,78
48,68,82
48,69,387
48,70,1115
48,71,140
48,72,112
48,73,209
48,74,1449
48,75,177
48,76,222
48,77,122
48,82,59
49,39,176
49,41,189
49,42,247
49,45,323
49,46,94
49,47,133
49,48,206
49,49,323
49,50,682
49,51,62
49,54,288
49,55,186
49,56,295
49,57,353
49,58,26
49,59,107
49,60,551
49,61,1158
49,62,275
49,63,293
49,64,448
49,65,697
49,66,97
49,67,150
49,68,372
49,69,819
49,70,1493
49,71,133
49,72,97
49,73,167
49,74,541
49,75,306
49,76,300
49,77,166
49,82,196
50,39,676
50,41,273
50,42,320
50,45,508
50,46,249
50,47,496
50,48,1286
50,49,381
50,50,1733
50,51,212
50,54,1187
50,55,576
50,56,160
50,57,601
50,58,130
50,59,122
50,60,6164
50,61,4357
50,62,625
50,63,781
50,64,924
50,65,1284
50,66,212
50,67,357
50,68,793
50,69,1391
50,70,3033
50,71,483
50,72,171
50,73,580
50,74,108
50,75,708
50,76,794
50,77,1005
50,82,254
51,39,124
51,41,93
51,42,173
51,45,154
51,46,334
51,47,112
51,48,206
51,49,60
51,50,343
51,51,358
51,54,873
51,55,114
51,56,127
51,57,151
51,58,9
51,59,24
51,60,798
51,61,1201
51,62,81
51,63,288
51,64,345
51,65,347
51,66,90
51,67,61
51,68,309
51,69,1572
51,70,3967
51,71,89
51,72,52
51,73,229
51,74,463
51,75,264
51,76,211
51,77,299
51,82,133
54,39,88
54,41,478
54,42,188
54,45,469
54,46,99
54,47,99
54,48,952
54,49,361
54,50,1486
54,51,783
54,54,580
54,55,311
54,56,280
54,57,104
54,58,17
54,59,33
54,60,1318
54,61,731
54,62,186
54,63,209
54,64,122
54,65,435
54,66,36
54,67,51
54,68,147
54,69,715
54,70,2054
54,71,99
54,72,64
54,73,116
54,74,921
54,75,705
54,76,135
54,77,188
54,82,250
55,39,432
55,41,707
55,42,275
55,45,1142
55,46,328
55,47,312
55,48,646
55,49,290
55,50,690
55,51,141
55,54,412
55,55,275
55,56,341
55,57,1368
55,58,46
55,59,717
55,60,905
55,61,1974
55,62,369
55,63,672
55,64,959
55,65,1418
55,66,550
55,67,654
55,68,683
55,69,2022
55,70,3526
55,71,144
55,72,605
55,73,426
55,74,288
55,75,289
55,76,1147
55,77,371
55,82,965
56,39,411
56,41,82
56,42,379
56,45,728
56,46,136
56,47,141
56,48,856
56,49,585
56,50,388
56,51,209
56,54,443
56,55,1151
56,56,255
56,57,124
56,58,48
56,59,80
56,60,1084
56,61,1172
56,62,95
56,63,185
56,64,458
56,65,204
56,66,144
56,67,326
56,68,128
56,69,1045
56,70,2042
56,71,188
56,72,164
56,73,347
56,74,108
56,75,77
56,76,480
56,77,191
56,82,1254
57,39,374
57,41,164
57,42,70
57,45,352
57,46,114
57,47,194
57,48,161
57,49,306
57,50,576
57,51,140
57,54,71
57,55,856
57,56,136
57,57,400
57,58,74
57,59,111
57,60,402
57,61,177
57,62,239
57,63,272
57,64,326
57,65,589
57,66,290
57,67,492
57,68,156
57,69,1732
57,70,2311
57,71,188
57,72,460
57,73,125
57,74,532
57,75,141
57,76,348
57,77,518
57,82,128
58,39,414
58,41,17
58,42,23
58,45,71
58,46,43
58,47,180
58,48,15
58,49,60
58,50,159
58,51,11
58,54,15
58,55,52
58,56,68
58,57,103
58,58,268
58,59,92
58,60,118
58,61,51
58,62,42
58,63,39
58,64,106
58,65,271
58,66,220
58,67,190
58,68,67
58,69,309
58,70,395
58,71,121
58,72,142
58,73,126
58,74,92
58,75,109
58,76,315
58,77,210
58,82,20
59,39,349
59,41,66
59,42,26
59,45,55
59,46,43
59,47,198
59,48,182
59,49,141
59,50,135
59,51,27
59,54,37
59,55,607
59,56,126
59,57,229
59,58,88
59,59,210
59,60,208
59,61,73
59,62,26
59,63,78
59,64,112
59,65,576
59,66,297
59,67,247
59,68,364
59,69,441
59,70,722
59,71,138
59,72,370
59,73,39
59,74,288
59,75,86
59,76,307
59,77,439
59,82,12
60,39,790
60,41,884
60,42,759
60,45,396
60,46,364
60,47,307
60,48,625
60,49,442
60,50,3231
60,51,777
60,54,720
60,55,1243
60,56,1076
60,57,282
60,58,57
60,59,314
60,60,2092
60,61,1126
60,62,107
60,63,353
60,64,157
60,65,187
60,66,280
60,67,205
60,68,284
60,69,504
60,70,1312
60,71,505
60,72,415
60,73,589
60,74,4269
60,75,802
60,76,970
60,77,971
60,82,318
61,39,179
61,41,636
61,42,568
61,45,240
61,46,158
61,47,408
61,48,583
61,49,858
61,50,4839
61,51,862
61,54,451
61,55,1181
61,56,498
61,57,261
61,58,28
61,59,59
61,60,957
61,61,683
61,62,876
61,63,990
61,64,194
61,65,795
61,66,146
61,67,153
61,68,441
61,69,864
61,70,1510
61,71,292
61,72,141
61,73,230
61,74,2877
61,75,472
61,76,542
61,77,1493
61,82,371
62,39,543
62,41,471
62,42,116
62,45,214
62,46,266
62,47,252
62,48,85
62,49,758
62,50,1020
62,51,252
62,54,242
62,55,668
62,56,229
62,57,323
62,58,36
62,59,36
62,60,219
62,61,825
62,62,206
62,63,379
62,64,704
62,65,507
62,66,96
62,67,228
62,68,237
62,69,878
62,70,2121
62,71,194
62,72,179
62,73,202
62,74,301
62,75,134
62,76,453
62,77,2465
62,82,101
63,39,268
63,41,184
63,42,91
63,45,134
63,46,140
63,47,180
63,48,132
63,49,218
63,50,665
63,51,282
63,54,214
63,55,158
63,56,140
63,57,811
63,58,35
63,59,93
63,60,287
63,61,714
63,62,95
63,63,257
63,64,1007
63,65,378
63,66,303
63,67,244
63,68,257
63,69,1153
63,70,2394
63,71,241
63,72,193
63,73,135
63,74,658
63,75,106
63,76,456
63,77,478
63,82,62
64,39,289
64,41,241
64,42,125
64,45,199
64,46,278
64,47,588
